Well Position	Cycle	Target Name	Rn	Delta Rn
G2	11	Target 1	-0.738	-0.003
G2	12	Target 1	-0.731	-0.001
G2	13	Target 1	-0.71	0.016
G2	14	Target 1	-0.71	0.013
G2	15	Target 1	-0.71	0.009
G2	16	Target 1	-0.703	0.011
G2	17	Target 1	-0.7	0.01
G2	18	Target 1	-0.696	0.011
G2	19	Target 1	-0.644	0.059
G2	20	Target 1	-0.582	0.116
G2	21	Target 1	-0.504	0.19
G2	22	Target 1	-0.408	0.282
G2	23	Target 1	-0.297	0.39
G2	24	Target 1	-0.207	0.476
G2	25	Target 1	-0.142	0.536
G2	26	Target 1	-0.089	0.585
G2	27	Target 1	-0.065	0.605
G2	28	Target 1	-0.05	0.617
G2	29	Target 1	-0.041	0.621
G2	30	Target 1	-0.022	0.637
G2	31	Target 1	-0.008	0.647
G2	32	Target 1	-0.008	0.642
G2	33	Target 1	-0.016	0.63
G2	34	Target 1	-0.014	0.628
G2	35	Target 1	0.002	0.641
G2	36	Target 1	-0.005	0.63
G2	37	Target 1	-0.011	0.62
G2	38	Target 1	-0.023	0.603
G2	39	Target 1	-0.023	0.6
G2	40	Target 1	-0.007	0.612
G3	1	Target 1	-0.709	0.015
G3	2	Target 1	-0.715	0.008
G3	3	Target 1	-0.703	0.021
G3	4	Target 1	-0.768	-0.045
G3	5	Target 1	-0.77	-0.047
G3	6	Target 1	-0.709	0.014
G3	7	Target 1	-0.68	0.043
G3	8	Target 1	-0.677	0.046
G3	9	Target 1	-0.709	0.014
G3	10	Target 1	-0.691	0.032
G3	11	Target 1	-0.675	0.049
G3	12	Target 1	-0.756	-0.033
G3	13	Target 1	-0.831	-0.108
G3	14	Target 1	-0.803	-0.08
G3	15	Target 1	-0.716	0.007
G3	16	Target 1	-0.68	0.043
G3	17	Target 1	-0.681	0.043
G3	18	Target 1	-0.705	0.018
G3	19	Target 1	-0.653	0.07
G3	20	Target 1	-0.579	0.145
G3	21	Target 1	-0.466	0.257
G3	22	Target 1	-0.336	0.387
G3	23	Target 1	-0.203	0.52
G3	24	Target 1	-0.123	0.601
G3	25	Target 1	-0.064	0.659
G3	26	Target 1	-0.017	0.706
G3	27	Target 1	0.001	0.724
G3	28	Target 1	0.012	0.736
G3	29	Target 1	0.016	0.739
G3	30	Target 1	0.026	0.749
G3	31	Target 1	0.028	0.751
G3	32	Target 1	0.035	0.758
G3	33	Target 1	0.042	0.765
G3	34	Target 1	0.046	0.769
G3	35	Target 1	0.059	0.782
G3	36	Target 1	0.058	0.781
G3	37	Target 1	0.052	0.775
G3	38	Target 1	0.038	0.762
G3	39	Target 1	0.037	0.76
G3	40	Target 1	0.051	0.774
G4	1	Target 1	-0.694	-0.009
G4	2	Target 1	-0.725	-0.04
G4	3	Target 1	-0.712	-0.029
G4	4	Target 1	-0.672	0.01
G4	5	Target 1	-0.675	0.005
G4	6	Target 1	-0.644	0.034
G4	7	Target 1	-0.65	0.027
G4	8	Target 1	-0.684	-0.009
G4	9	Target 1	-0.665	0.009
G4	10	Target 1	-0.671	0.001
G4	11	Target 1	-0.693	-0.022
G4	12	Target 1	-0.752	-0.082
G4	13	Target 1	-0.653	0.015
G4	14	Target 1	-0.653	0.014
G4	15	Target 1	-0.662	0.003
G4	16	Target 1	-0.652	0.012
G4	17	Target 1	-0.649	0.013
G4	18	Target 1	-0.654	0.006
G4	19	Target 1	-0.613	0.046
G4	20	Target 1	-0.544	0.113
G4	21	Target 1	-0.447	0.209
G4	22	Target 1	-0.334	0.32
G4	23	Target 1	-0.2	0.454
G4	24	Target 1	-0.117	0.535
G4	25	Target 1	-0.052	0.598
G4	26	Target 1	-0.005	0.644
G4	27	Target 1	0.004	0.652
G4	28	Target 1	0.011	0.658
G4	29	Target 1	0.019	0.664
G4	30	Target 1	0.034	0.678
G4	31	Target 1	0.046	0.687
G4	32	Target 1	0.053	0.693
G4	33	Target 1	0.053	0.692
G4	34	Target 1	0.055	0.692
G4	35	Target 1	0.068	0.704
G4	36	Target 1	0.069	0.703
G4	37	Target 1	0.063	0.696
G4	38	Target 1	0.059	0.69
G4	39	Target 1	0.06	0.69
G4	40	Target 1	0.074	0.702
G5	1	Target 1	-0.782	0.001
G5	2	Target 1	-0.774	0.011
G5	3	Target 1	-0.763	0.024
G5	4	Target 1	-0.764	0.026
G5	5	Target 1	-0.804	-0.012
G5	6	Target 1	-0.799	-0.006
G5	7	Target 1	-0.767	0.029
G5	8	Target 1	-0.799	-0.001
G5	9	Target 1	-0.826	-0.027
G5	10	Target 1	-0.845	-0.044
G5	11	Target 1	-0.84	-0.037
G5	12	Target 1	-0.833	-0.027
G5	13	Target 1	-0.809	-0.001
G5	14	Target 1	-0.793	0.017
G5	15	Target 1	-0.786	0.026
G5	16	Target 1	-0.781	0.033
G5	17	Target 1	-0.793	0.023
G5	18	Target 1	-0.748	0.069
G5	19	Target 1	-0.732	0.088
G5	20	Target 1	-0.694	0.128
G5	21	Target 1	-0.613	0.211
G5	22	Target 1	-0.517	0.309
G5	23	Target 1	-0.398	0.43
G5	24	Target 1	-0.279	0.551
G5	25	Target 1	-0.194	0.638
G5	26	Target 1	-0.107	0.727
G5	27	Target 1	-0.074	0.762
G5	28	Target 1	-0.064	0.774
G5	29	Target 1	-0.055	0.785
G5	30	Target 1	-0.029	0.813
G5	31	Target 1	-0.016	0.828
G5	32	Target 1	-0.019	0.827
G5	33	Target 1	-0.019	0.829
G5	34	Target 1	-0.007	0.843
G5	35	Target 1	0.012	0.864
G5	36	Target 1	0.015	0.869
G5	37	Target 1	0.013	0.869
G5	38	Target 1	0.007	0.866
G5	39	Target 1	0.009	0.869
G5	40	Target 1	0.026	0.889
G6	1	Target 1	-0.828	0.001
G6	2	Target 1	-0.791	0.033
G6	3	Target 1	-0.794	0.026
